,spk
0,2020-05-13 10:30:00-04:00
1,2020-06-11 12:30:00-04:00
2,2020-06-25 09:30:00-04:00
3,2020-07-15 09:30:00-04:00
4,2020-07-22 10:30:00-04:00
5,2020-09-02 15:30:00-04:00
6,2020-09-16 09:30:00-04:00
7,2020-09-23 14:30:00-04:00
8,2020-10-02 09:30:00-04:00
9,2020-10-14 10:30:00-04:00
10,2020-11-09 14:30:00-05:00
11,2020-11-17 15:30:00-05:00
12,2020-12-09 12:30:00-05:00
13,2020-12-18 11:30:00-05:00
14,2020-12-30 09:30:00-05:00
15,2021-01-11 09:30:00-05:00
16,2021-01-15 09:30:00-05:00
17,2021-01-27 09:30:00-05:00
18,2021-02-09 11:30:00-05:00
19,2021-03-03 09:30:00-05:00
20,2021-03-17 15:30:00-04:00
21,2021-03-24 10:30:00-04:00
22,2021-04-20 09:30:00-04:00
23,2021-04-27 12:30:00-04:00
24,2021-05-10 11:30:00-04:00
25,2021-05-18 09:30:00-04:00
26,2021-05-26 09:30:00-04:00
27,2021-07-16 09:30:00-04:00
28,2021-07-27 09:30:00-04:00
29,2021-08-05 11:30:00-04:00
30,2021-08-18 12:30:00-04:00
31,2021-08-25 09:30:00-04:00
32,2021-09-09 09:30:00-04:00
33,2021-09-24 15:30:00-04:00
34,2021-10-11 11:30:00-04:00
35,2021-10-28 15:30:00-04:00
36,2021-11-05 12:30:00-04:00
37,2021-11-24 09:30:00-05:00
38,2021-12-02 09:30:00-05:00
39,2021-12-14 09:30:00-05:00
40,2021-12-29 12:30:00-05:00
41,2022-01-05 09:30:00-05:00
42,2022-01-13 11:30:00-05:00
43,2022-02-03 15:30:00-05:00
44,2022-02-10 12:30:00-05:00
45,2022-02-17 10:30:00-05:00
46,2022-03-04 09:30:00-05:00
47,2022-03-31 09:30:00-04:00
48,2022-04-05 15:30:00-04:00
49,2022-04-14 09:30:00-04:00
