,bts
0,2020-05-15 13:30:00-04:00
1,2020-06-15 13:30:00-04:00
2,2020-06-29 15:30:00-04:00
3,2020-07-20 09:30:00-04:00
4,2020-07-27 13:30:00-04:00
5,2020-09-14 14:30:00-04:00
6,2020-09-21 14:30:00-04:00
7,2020-09-25 11:30:00-04:00
8,2020-10-08 15:30:00-04:00
9,2020-11-03 10:30:00-05:00
10,2020-11-11 14:30:00-05:00
11,2020-11-25 10:30:00-05:00
12,2020-12-14 15:30:00-05:00
13,2020-12-21 15:30:00-05:00
14,2021-01-07 12:30:00-05:00
15,2021-01-13 09:30:00-05:00
16,2021-01-19 15:30:00-05:00
17,2021-02-02 11:30:00-05:00
18,2021-03-01 10:30:00-05:00
19,2021-03-08 15:30:00-05:00
20,2021-03-22 10:30:00-04:00
21,2021-03-26 14:30:00-04:00
22,2021-04-22 15:30:00-04:00
23,2021-05-06 10:30:00-04:00
24,2021-05-13 09:30:00-04:00
25,2021-05-19 15:30:00-04:00
26,2021-05-20 10:30:00-04:00
27,2021-06-03 15:30:00-04:00
28,2021-07-21 09:30:00-04:00
29,2021-07-30 11:30:00-04:00
30,2021-08-11 11:30:00-04:00
31,2021-08-20 15:30:00-04:00
32,2021-08-27 11:30:00-04:00
33,2021-09-22 09:30:00-04:00
34,2021-10-06 10:30:00-04:00
35,2021-10-14 10:30:00-04:00
36,2021-11-02 09:30:00-04:00
37,2021-11-12 10:30:00-05:00
38,2021-11-29 15:30:00-05:00
39,2021-12-03 15:30:00-05:00
40,2021-12-21 12:30:00-05:00
41,2021-12-31 15:30:00-05:00
42,2022-01-11 10:30:00-05:00
43,2022-01-26 09:30:00-05:00
44,2022-02-08 09:30:00-05:00
45,2022-02-15 13:30:00-05:00
46,2022-02-25 10:30:00-05:00
47,2022-03-15 15:30:00-04:00
48,2022-04-01 15:30:00-04:00
49,2022-04-13 09:30:00-04:00
