,spk
0,2020-07-22 09:30:00-04:00
1,2020-09-03 11:30:00-04:00
2,2020-10-21 09:30:00-04:00
3,2020-11-20 10:30:00-05:00
4,2021-01-04 12:30:00-05:00
5,2021-02-01 09:30:00-05:00
6,2021-03-24 09:30:00-04:00
7,2021-04-30 10:30:00-04:00
8,2021-06-01 09:30:00-04:00
9,2021-09-10 10:30:00-04:00
10,2021-12-17 09:30:00-05:00
11,2022-01-05 11:30:00-05:00
12,2022-02-10 14:30:00-05:00
13,2022-04-05 15:30:00-04:00
