,bts
0,2020-07-30 15:30:00-04:00
1,2020-09-25 15:30:00-04:00
2,2020-11-04 11:30:00-05:00
3,2020-11-30 12:30:00-05:00
4,2021-01-20 10:30:00-05:00
5,2021-03-15 12:30:00-04:00
6,2021-04-01 15:30:00-04:00
7,2021-05-20 09:30:00-04:00
8,2021-06-07 15:30:00-04:00
9,2021-10-07 10:30:00-04:00
10,2021-12-23 10:30:00-05:00
11,2022-01-28 13:30:00-05:00
12,2022-03-17 14:30:00-04:00
