,ma
0,6.776499938964844
1,13.499500274658203
2,20.186500549316406
3,26.877500915527342
4,33.5390007019043
5,40.17300033569336
6,46.83300018310547
7,53.48550033569336
8,60.1509651184082
9,66.8259651184082
10,73.48896484375
11,80.15971450805664
12,86.83271484375
13,93.52021484375
14,100.20470962524413
15,106.91220932006836
16,113.61345901489258
17,120.31845932006836
18,126.97751922607422
19,133.60751953125
20,133.44901962280272
21,133.39951934814454
22,133.42201919555663
23,133.46001892089845
24,133.54015884399413
25,133.66215896606445
26,133.7571594238281
27,133.85415954589843
28,133.93669509887695
29,134.0031951904297
30,134.0751953125
31,134.13894577026366
32,134.20578079223634
33,134.27128067016602
34,134.33278579711913
35,134.3957862854004
36,134.44128646850587
37,134.4737861633301
38,134.56872100830077
39,134.68022079467772
40,134.80472106933593
41,134.86972122192384
42,134.91122131347657
43,134.89722137451173
44,134.85908203125
45,134.79348220825196
46,134.7579818725586
47,134.74723129272462
48,134.71698074340821
49,134.81848068237304
50,134.8164810180664
51,134.81098098754882
52,134.75564575195312
53,134.71864624023436
54,134.70114669799804
55,134.6301467895508
56,134.54789657592772
57,134.48839645385743
58,134.39550170898437
59,134.31150131225587
60,134.1880012512207
61,134.05650100708007
62,133.8915008544922
63,133.88000106811523
64,133.87900085449218
65,133.83460083007813
66,133.74885101318358
67,133.65445098876953
68,133.58570098876953
69,133.3822006225586
70,133.22369537353515
71,132.91669540405275
72,132.6159454345703
73,132.27194519042968
74,131.91844482421874
75,131.60194473266603
76,131.3374450683594
77,131.1814453125
78,131.01634521484374
79,130.86884536743165
80,130.7453498840332
81,130.61784973144532
82,130.48184967041016
83,130.21434936523437
84,129.93884887695313
85,129.71859893798828
86,129.54424896240235
87,129.36139907836915
88,129.16439895629884
89,128.9843994140625
90,128.89740447998048
91,129.0239044189453
92,129.19665451049804
93,129.38756408691407
94,129.55006408691406
95,129.68506393432617
96,129.81506423950196
97,129.8215644836426
98,129.80256423950195
99,129.72206420898436
100,129.66180953979492
101,129.6073097229004
102,129.57180938720703
103,129.50305938720703
104,129.4510597229004
105,129.26566963195802
106,129.06626930236817
107,128.89101943969726
108,128.73251991271974
109,128.58651962280274
110,128.4100196838379
111,128.16701965332032
112,127.84151954650879
113,127.46511001586914
114,127.09660987854004
115,126.75085983276367
116,126.37535934448242
117,125.99485893249512
118,125.67085914611816
119,125.53173446655273
120,125.40398445129395
121,125.258984375
122,125.13248481750489
123,125.04373474121094
124,124.95223960876464
125,125.00137977600097
126,125.09687995910645
127,125.15013008117675
128,125.20462989807129
129,125.25412521362304
130,125.3151252746582
131,125.39618034362793
132,125.55968017578125
133,125.7089298248291
134,125.86043014526368
135,125.98718032836913
136,126.12768058776855
137,126.25918045043946
138,126.39717559814453
139,126.42030029296875
140,126.46130027770997
141,126.52479553222656
142,126.56779556274414
143,126.61379547119141
144,126.6487907409668
145,126.65779075622558
146,126.59179077148437
147,126.4547908782959
148,126.31279106140137
149,126.16054573059083
150,126.01049575805663
151,125.8634407043457
152,125.71469078063964
153,125.61844100952149
154,125.62044067382813
155,125.66094055175782
156,125.72919044494628
157,125.81569061279296
158,125.89502563476563
159,125.96752586364747
160,126.00502586364746
161,126.06103057861328
162,126.06780052185059
163,126.04780044555665
164,126.02080039978027
165,126.02680015563965
