,spk
0,2020-05-13 12:30:00-04:00
1,2020-06-12 09:30:00-04:00
2,2020-06-25 14:30:00-04:00
3,2020-07-15 14:30:00-04:00
4,2020-09-02 15:30:00-04:00
5,2020-09-16 14:30:00-04:00
6,2020-10-14 15:30:00-04:00
7,2020-11-18 14:30:00-05:00
8,2020-12-09 13:30:00-05:00
9,2020-12-30 14:30:00-05:00
10,2021-01-27 14:30:00-05:00
11,2021-02-09 11:30:00-05:00
12,2021-03-03 11:30:00-05:00
13,2021-03-18 10:30:00-04:00
14,2021-04-20 10:30:00-04:00
15,2021-04-28 09:30:00-04:00
16,2021-05-18 14:30:00-04:00
17,2021-05-26 14:30:00-04:00
18,2021-07-16 14:30:00-04:00
19,2021-07-27 10:30:00-04:00
20,2021-08-06 09:30:00-04:00
21,2021-08-18 10:30:00-04:00
22,2021-08-25 14:30:00-04:00
23,2021-09-09 14:30:00-04:00
24,2021-09-27 09:30:00-04:00
25,2021-10-11 14:30:00-04:00
26,2021-10-28 15:30:00-04:00
27,2021-11-08 12:30:00-05:00
28,2021-11-24 14:30:00-05:00
29,2021-12-03 10:30:00-05:00
30,2021-12-14 09:30:00-05:00
31,2022-01-05 13:30:00-05:00
32,2022-01-13 15:30:00-05:00
33,2022-02-03 15:30:00-05:00
34,2022-02-10 15:30:00-05:00
35,2022-02-17 14:30:00-05:00
36,2022-03-03 15:30:00-05:00
37,2022-03-31 14:30:00-04:00
