,ma
0,1.694124984741211
1,3.374875068664551
2,5.046625137329102
3,6.719375228881836
4,8.384750175476075
5,10.04325008392334
6,11.708250045776367
7,13.37137508392334
8,15.03774127960205
9,16.70649127960205
10,18.3722412109375
11,20.03992862701416
12,21.7081787109375
13,23.3800537109375
14,25.051177406311034
15,26.72805233001709
16,28.403364753723146
17,30.07961483001709
18,31.744379806518555
19,33.4018798828125
20,35.056379890441896
21,36.724754905700685
22,38.40212993621826
23,40.08437995910644
24,41.76978988647461
25,43.45878982543945
26,45.147539901733396
27,46.834914970397946
28,48.52191505432129
29,50.20729007720947
30,51.8910400390625
31,53.57466506958008
32,55.25962390899658
33,56.947873878479
34,58.63437385559082
35,60.32699890136719
36,62.01368637084961
37,63.69806137084961
38,65.38656005859374
39,67.07193508148194
40,68.75756015777588
41,70.44218521118164
42,72.1299352645874
43,73.80868530273438
44,75.48456039428712
45,77.15716037750244
46,78.83703536987305
47,80.5217227935791
48,82.20116024017334
49,83.91191024780274
50,85.5951602935791
51,87.27741031646728
52,88.94853534698487
53,90.62753543853759
54,92.30966053009033
55,93.98453559875489
56,95.65066051483154
57,97.32016048431396
58,98.98543548583984
59,100.64981040954589
60,102.30456047058105
61,103.95631046295166
62,105.60281047821044
63,107.27868556976318
64,108.95431060791016
65,110.61581058502198
66,112.27424812316895
67,113.93533554077149
68,115.59758548736572
69,117.25746040344238
70,118.9010841369629
71,120.50658416748047
72,122.10252170562744
73,123.69552173614503
74,125.28927173614503
75,126.88502178192138
76,128.48502178192138
77,130.11552181243897
78,131.7395217895508
79,133.3670217514038
80,133.29677295684814
81,133.23589782714845
82,133.17664775848388
83,133.11289768218995
84,133.05427265167236
85,133.0022102355957
86,132.95206031799316
87,132.90431022644043
88,132.85094394683838
89,132.79706897735596
90,132.7531940460205
91,132.72263164520263
92,132.69350662231446
93,132.66235904693605
94,132.6256103515625
95,132.57823543548585
96,132.53542308807374
97,132.49129810333253
98,132.44578304290772
99,132.3956579208374
100,132.34997043609619
101,132.2878454208374
102,132.21409530639647
103,132.12365779876708
104,132.03199787139891
105,131.9030879020691
106,131.77933778762818
107,131.66352519989013
108,131.54990015029907
109,131.44290008544922
110,131.336900138855
111,131.2296501159668
112,131.10244131088257
113,130.96081638336182
114,130.81656637191773
115,130.66700382232665
116,130.51894130706788
117,130.37156629562378
118,130.22131757736207
119,130.10853633880615
120,129.9997862815857
121,129.88516120910646
122,129.76941118240356
123,129.66028614044188
124,129.5552872657776
125,129.45506229400635
126,129.36406230926514
127,129.26424989700317
128,129.17181243896485
129,129.05181121826172
130,128.96156120300293
131,128.87594995498657
132,128.8034499168396
133,128.7083872795105
134,128.60638723373413
135,128.50626220703126
136,128.4138873100281
137,128.3142622947693
138,128.2217360496521
139,128.13573608398437
140,128.068111038208
141,128.00223484039307
142,127.93848485946656
143,127.84373474121094
144,127.74773473739624
145,127.66085977554322
146,127.57479724884033
147,127.46433486938477
148,127.3535849571228
149,127.24639749526978
150,127.1582612991333
151,127.11263628005982
152,127.07813625335693
153,127.04501123428345
154,127.03188619613647
155,127.0210111618042
156,127.0118236541748
157,126.97282361984253
158,126.94140615463257
159,126.91040620803832
160,126.88303003311157
161,126.86303005218505
162,126.83497257232666
163,126.8020975112915
164,126.76822261810302
165,126.73791007995605
166,126.69906005859374
167,126.65805883407593
168,126.64080896377564
169,126.62155895233154
170,126.59693641662598
171,126.55468635559082
172,126.51293630599976
173,126.47145891189575
174,126.43358392715454
175,126.40808401107788
176,126.36558389663696
177,126.32145881652832
178,126.29058389663696
179,126.27070894241334
180,126.24702138900757
181,126.22777137756347
182,126.21652145385742
183,126.21545896530151
184,126.21045894622803
185,126.2374939918518
186,126.25749406814575
187,126.2716191291809
188,126.28411912918091
189,126.29925165176391
190,126.31700162887573
191,126.32712659835815
192,126.3545015335083
193,126.39075145721435
194,126.42437648773193
195,126.45593900680542
196,126.48981409072876
197,126.52306413650513
198,126.55243921279907
199,126.54709415435791
200,126.53384408950805
201,126.52809410095215
202,126.52071905136108
203,126.51784400939941
204,126.50734281539917
205,126.4950927734375
206,126.46684274673461
207,126.4428427696228
208,126.4183427810669
209,126.38521900177003
210,126.35709400177002
211,126.32595520019531
212,126.2920802116394
213,126.26701774597169
214,126.2432677268982
215,126.22845516204833
216,126.21931762695313
217,126.20756769180298
218,126.18669395446777
219,126.15788145065308
220,126.11838140487671
221,126.08363256454467
222,126.04950752258301
223,126.01732006072999
224,126.0046950340271
225,125.99725751876831
226,125.99819498062134
227,126.0219449043274
228,126.04306983947754
229,126.06738243103027
230,126.08751993179321
231,126.10651988983155
232,126.11270742416382
233,126.11833238601685
234,126.10620746612548
235,126.08670749664307
236,126.06801996231079
237,126.0518949508667
238,126.0646873474121
239,126.0620623588562
240,126.05081233978271
241,126.03643732070923
242,126.03984355926514
243,126.05646858215331
244,126.07207107543945
245,126.09282112121582
246,126.10857105255127
247,126.12357234954834
248,126.11882228851319
249,126.11394729614258
250,126.10794486999512
251,126.10313243865967
252,126.10763235092163
253,126.10325727462768
254,126.09206972122192
255,126.07181959152221
256,126.06269464492797
257,126.05481967926025
258,126.04581966400147
259,126.04925718307496
260,126.05375719070435
261,126.05744466781616
262,126.05519466400146
263,126.05744466781616
264,126.06144466400147
265,126.06631965637207
266,126.09769458770752
267,126.13425703048706
268,126.17188205718995
269,126.20287466049194
270,126.23518724441529
271,126.27868719100952
272,126.32468729019165
273,126.37418727874756
274,126.42293729782105
275,126.47614984512329
276,126.53127489089965
277,126.58552494049073
278,126.64114990234376
279,126.69890117645264
280,126.7714012145996
281,126.84052619934081
282,126.9085262298584
283,126.972776222229
284,127.04390125274658
285,127.11365127563477
286,127.18402624130249
287,127.27025127410889
288,127.35825119018554
289,127.45750122070312
290,127.54150123596192
291,127.62762632369996
292,127.71606388092042
293,127.80981397628784
294,127.89676895141602
295,127.97795639038085
296,128.05084390640258
297,128.1329689025879
298,128.22046880722047
299,128.30878133773803
300,128.40053129196167
301,128.48478136062622
302,128.58240633010865
303,128.68559379577636
304,128.77096881866456
305,128.8589063644409
306,128.938156414032
307,129.01753149032592
308,129.10408143997194
309,129.186581325531
310,129.27242250442504
311,129.3612349510193
312,129.46198492050172
313,129.57136001586915
314,129.67885999679567
