,spk
0,2020-07-21 11:30:00-04:00
1,2020-09-03 11:30:00-04:00
2,2020-10-20 11:30:00-04:00
3,2020-11-19 11:30:00-05:00
4,2020-12-31 14:30:00-05:00
5,2021-01-29 11:30:00-05:00
6,2021-03-23 14:30:00-04:00
7,2021-04-29 15:30:00-04:00
8,2021-05-28 11:30:00-04:00
9,2021-09-10 10:30:00-04:00
10,2021-11-10 11:30:00-05:00
11,2021-12-16 12:30:00-05:00
12,2022-01-04 15:30:00-05:00
13,2022-02-10 11:30:00-05:00
14,2022-03-07 11:30:00-05:00
15,2022-04-05 15:30:00-04:00
