,bpk
0,2020-07-30 15:30:00-04:00
1,2020-09-25 13:30:00-04:00
2,2020-11-04 15:30:00-05:00
3,2020-11-30 12:30:00-05:00
4,2021-01-20 09:30:00-05:00
5,2021-03-12 15:30:00-05:00
6,2021-03-31 15:30:00-04:00
7,2021-05-19 15:30:00-04:00
8,2021-06-07 15:30:00-04:00
9,2021-10-06 15:30:00-04:00
10,2021-11-16 09:30:00-05:00
11,2021-12-22 13:30:00-05:00
12,2022-01-28 09:30:00-05:00
13,2022-03-02 11:30:00-05:00
14,2022-03-18 11:30:00-04:00
