,sts
0,2020-07-22 15:30:00-04:00
1,2020-09-04 09:30:00-04:00
2,2020-10-23 09:30:00-04:00
3,2020-11-18 15:30:00-05:00
4,2021-01-07 11:30:00-05:00
5,2021-02-04 09:30:00-05:00
6,2021-04-29 09:30:00-04:00
7,2021-09-13 15:30:00-04:00
8,2022-01-06 09:30:00-05:00
9,2022-02-11 14:30:00-05:00
10,2022-04-07 10:30:00-04:00
