,ma
0,1.5058888753255208
1,2.999888949924045
2,4.485889010959202
3,5.972777981228298
4,7.453111267089843
5,8.927333407931858
6,10.407333374023438
7,11.88566674126519
8,13.366881137424045
9,14.850214470757379
10,16.330881076388888
11,17.813269890679255
12,19.296158854166666
13,20.782269965277777
14,22.267713250054253
15,23.758268737792967
16,25.247435336642795
17,26.737435404459635
18,28.21722649468316
19,29.690559895833335
20,31.161226569281684
21,32.64422658284505
22,34.13522660997179
23,35.63055996365017
24,37.128702121310766
25,38.630035400390625
26,40.131146579318575
27,41.631035529242624
28,43.1305911593967
29,44.628702290852864
30,46.12536892361111
31,47.621924506293404
32,49.11966569688585
33,50.62033233642578
34,52.11944342719184
35,53.6239990234375
36,55.123276774088545
37,56.620498996310765
38,58.12138671875
39,59.619497850206166
40,61.117831251356336
41,62.61527574327257
42,64.11549801296658
43,65.60772026909723
44,67.0973870171441
45,68.58414255777994
46,70.07736477322048
47,71.57486470540364
48,73.06769799126519
49,74.58836466471354
50,76.08458692762586
51,77.57992028130425
52,79.06536475287544
53,80.55780927870009
54,82.05303158230252
55,83.54180942111545
56,85.02280934651692
57,86.50680931939019
58,87.98705376519098
59,89.46649814181858
60,90.93738708496093
61,92.40560930040148
62,93.8691648695204
63,95.35883161756728
64,96.84827609592014
65,98.32516496446398
66,99.79933166503906
67,101.2758538140191
68,102.75340932210287
69,104.22885369194879
70,105.68985256618923
71,107.11696370442708
72,108.53557484944662
73,109.95157487657335
74,111.36824154324002
75,112.78668602837456
76,114.20890825059679
77,115.65824161105685
78,117.10179714626736
79,118.54846377902561
80,119.99190928141276
81,121.43179812961155
82,122.86513146294487
83,124.29535369873047
84,125.72357584635417
85,127.15152028401693
86,128.58694254557292
87,130.02283138699002
88,131.45660909016928
89,132.89205356174045
90,132.8278313530816
91,132.78905351426866
92,132.760053507487
93,132.73158891465928
94,132.70403340657552
95,132.67825571695963
96,132.649366929796
97,132.62181142171224
98,132.5799302842882
99,132.52537468804255
100,132.47476365831164
101,132.42015262179905
102,132.36270802815756
103,132.29154137505427
104,132.22276475694446
105,132.1189559088813
106,132.02090038723415
107,131.92784474690754
108,131.84660924275715
109,131.77627580430772
110,131.7080535888672
111,131.62627580430774
112,131.51994247436522
113,131.39938693576389
114,131.27213363647462
115,131.142411465115
116,131.00896691216363
117,130.8753001742893
118,130.7430778503418
119,130.64282786051433
120,130.54782791137694
121,130.446827867296
122,130.34642003377277
123,130.24097561306422
124,130.1381989373101
125,130.03131001790365
126,129.94436560736762
127,129.8559211730957
128,129.76570010715062
129,129.68158789740667
130,129.59925452338325
131,129.52104449801976
132,129.44182222154404
133,129.35754436916775
134,129.27243321736654
135,129.18545549180772
136,129.09112218221028
137,128.98906665378146
138,128.89423226250543
139,128.7765655517578
140,128.69112108018663
141,128.60545332166885
142,128.52689776950413
143,128.439897664388
144,128.34878650241427
145,128.2596753438314
146,128.1763420952691
147,128.07067548963758
148,127.9695421854655
149,127.87026443481446
150,127.7820310804579
151,127.70036443074544
152,127.62475331624348
153,127.5216421339247
154,127.43719762166342
155,127.36908654106988
156,127.30897538926867
157,127.24711990356445
158,127.185193294949
159,127.12886004977756
160,127.08697230021158
161,127.08197224934896
162,127.0717544555664
163,127.05675438774956
164,127.03819885253907
165,127.02075432671441
166,126.99942101372613
167,126.94953096177844
168,126.92441991170247
169,126.89608662923177
170,126.87242109510633
171,126.85019887288412
172,126.83675443861219
173,126.8280877855089
174,126.81897676255969
175,126.8168101840549
176,126.79472122192382
177,126.7703879462348
178,126.7484991285536
179,126.72416576809353
180,126.69149907430013
181,126.64694349500868
182,126.60538787841797
183,126.56096352471246
184,126.52040795220269
185,126.48274129231771
186,126.44051903618707
187,126.39924121432834
188,126.36957465277777
189,126.35724800957574
190,126.34541464911567
191,126.32785907321507
192,126.3114146762424
193,126.30347018771701
194,126.28758129543728
195,126.30050133599175
196,126.30716807047526
197,126.30600145128038
198,126.3008903503418
199,126.29100036621094
200,126.27844475640191
201,126.26766696506077
202,126.27377802530924
203,126.29166683620876
204,126.3077779981825
205,126.32294464111328
206,126.34250022040473
207,126.36372248331706
208,126.38527806599934
209,126.3719724867079
210,126.36130583021375
211,126.35730582343207
212,126.35086135864258
213,126.34130579630533
214,126.32841584947374
215,126.3173602634006
216,126.29579357571072
217,126.27201580471463
218,126.24079360961915
219,126.20418353610569
220,126.16385014851888
221,126.12339341905383
222,126.07894897460938
223,126.0478379143609
224,126.0361712137858
225,126.02944895426432
226,126.02906002468534
227,126.03306003146702
228,126.03294999864366
229,126.0317278544108
230,126.02150565253363
231,126.01528447469076
232,126.00184004041884
233,125.98795115152994
234,125.97806226942274
235,125.96984007093641
236,125.9696178012424
237,125.99161775377061
238,126.03950653076171
239,126.07611770629883
240,126.10257322523329
241,126.12535095214844
242,126.1488276163737
243,126.17804980807834
244,126.18502985636393
245,126.19569651285808
246,126.19652981228299
247,126.19464094373915
248,126.19323425292968
249,126.1881231519911
250,126.18345650566948
251,126.17473432752821
252,126.19022979736329
253,126.20689646402995
254,126.21795196533203
255,126.2247297498915
256,126.22906307644314
257,126.23417536417644
258,126.21961975097656
259,126.2154530843099
260,126.20867309570312
261,126.20495088365342
262,126.19850641886393
263,126.19295086330838
264,126.18961749606662
265,126.17895075480143
266,126.20239520602756
267,126.23283962673611
268,126.26406190660265
269,126.29695087009006
270,126.33489540947808
271,126.373117574056
272,126.40756208631727
273,126.44456202189127
274,126.47645094129774
275,126.51263987223307
276,126.55052880181206
277,126.58502883911133
278,126.61825103759766
279,126.64624438815646
280,126.68235549926757
281,126.72402216593424
282,126.76624442206489
283,126.80902218288846
284,126.85846667819553
285,126.90757776896159
286,126.95957768758139
287,127.02788882785373
288,127.10155537923177
289,127.18122321234809
290,127.25700107150608
291,127.33466779920789
292,127.41339009602865
293,127.4897235446506
294,127.56346130371094
295,127.63546125623915
296,127.7037946065267
297,127.77435014512804
298,127.84268341064453
299,127.91401672363281
300,127.98023885091146
301,128.0423500061035
302,128.1147944132487
303,128.19768329196506
304,128.28301662868924
305,128.3676278008355
306,128.44580561319987
307,128.53080563015408
308,128.6261833190918
309,128.72390552096897
310,128.82509774102104
311,128.92870881822375
312,129.03515328301324
313,129.1470977783203
314,129.24398668077257
315,129.34293009440105
316,129.43293007744683
317,129.5203746371799
318,129.61415244208442
319,129.70226347181531
320,129.79047114054362
321,129.8756923251682
322,129.97669228447808
323,130.07847001817493
324,130.17424782647026
325,130.27080230712892
326,130.3595800611708
327,130.444913482666
328,130.5009135776096
329,130.57069125705294
330,130.64924680921766
331,130.72413575914172
332,130.79615902370875
333,130.86193678114148
334,130.92962341308595
335,130.99195675320095
336,131.0787334865994
337,131.16840014987523
338,131.25617785983616
339,131.34440002441406
340,131.42984449598524
341,131.51917775472006
342,131.59395565456813
343,131.68328908284505
344,131.78712242974174
345,131.89573364257814
346,132.00706702338326
347,132.11895582411023
348,132.2315113491482
349,132.33345574273002
350,132.4424557156033
351,132.5528446621365
352,132.66116468641493
353,132.76583133273655
354,132.87283138699001
355,132.98294253879124
356,133.07294260660808
357,133.1552759806315
358,133.22972039116755
359,133.30272030300563
360,133.37166459825303
361,133.4435535007053
362,133.51666463216145
363,133.5915535820855
364,133.69333140055338
365,133.78980916341146
366,133.89214358859593
367,134.00003238254124
368,134.11058790418838
369,134.21903228759766
370,134.32025451660155
371,134.45892113579643
372,134.59558783637152
373,134.72347683376736
374,134.84747670491535
375,134.97692108154297
376,135.10714331732856
377,135.22249874538846
378,135.36094326443143
379,135.48705427381728
380,135.62427639431422
381,135.75838741726346
382,135.89877624511718
383,136.0371095445421
384,136.18392723931206
385,136.31548292371963
386,136.44159410264757
387,136.5694829305013
388,136.7091496785482
389,136.8539274427626
390,136.99148305257162
391,137.13026089138455
392,137.2734831068251
393,137.42092759874132
394,137.56937204996746
395,137.71648305257162
396,137.86253865559897
397,138.0063963148329
398,138.14590742323134
399,138.29657423231336
400,138.43360426161024
401,138.5631598578559
402,138.68982645670573
403,138.80860409206815
404,138.92771521674263
405,139.04304962158204
406,139.18710513644749
407,139.3367716471354
408,139.48354949951172
409,139.63143836127387
410,139.77000851101346
411,139.90445404052736
412,140.03200954861111
413,140.19378746880426
414,140.36434292263453
415,140.53289947509765
416,140.70454728868273
417,140.87899169921874
418,141.05776943630642
419,141.23310292561848
420,141.41210293240016
421,141.5863250732422
422,141.7571029663086
423,141.9226586235894
424,142.08754747178818
425,142.25265858968098
426,142.40132632785372
427,142.56288180881077
428,142.71543748643663
429,142.85629204644098
430,143.00284745958118
431,143.14368082682293
432,143.28312513563367
433,143.404125128852
434,143.49190300835502
435,143.57095845540366
436,143.65384724934896
437,143.72684733072916
438,143.79429185655383
439,143.8624030219184
440,143.92440304226346
441,144.00994296603733
442,144.10206739637587
443,144.20323401557076
444,144.31256730821397
445,144.42178615993924
446,144.52823062472874
447,144.63728620741102
448,144.74261949327257
449,144.84836951361763
450,144.95248074001736
451,145.04759182400173
452,145.13959181043836
453,145.23070288764106
454,145.3003694322374
455,145.39636942545573
456,145.49386834038629
457,145.5819795396593
458,145.66897956000435
459,145.75686848958333
460,145.8387018839518
461,145.88125745985243
462,145.93870188395184
463,146.00825737847222
464,146.08147972954643
465,146.15481313069662
466,146.22723202175564
467,146.2997321234809
468,146.34562106662327
469,146.41151004367404
470,146.47095455593532
471,146.53328789605035
472,146.5846211751302
473,146.6378433227539
474,146.69139895968968
475,146.761843363444
476,146.83806559244792
477,146.89284345838757
478,146.92784339057076
479,146.95462120903863
480,146.9896211412218
481,147.03406558566624
482,147.05962117513022
483,147.07662116156683
484,147.0902867635091
485,147.08885464138456
486,147.08985460069445
487,147.09044138590494
488,147.09288482666017
489,147.08366258409288
490,147.09788479275173
491,147.11082933213976
492,147.12416280110676
493,147.14071841769749
494,147.15416276719836
495,147.16860724555121
496,147.15560726589626
497,147.13382958306207
498,147.10738508436415
499,147.0842741224501
500,147.07638515896267
501,147.07871839735242
502,147.08260735405815
503,147.05149620903862
504,147.02371843126085
505,146.99549509684246
506,146.96595848931207
507,146.93046281602648
508,146.89290720621744
509,146.85379604763455
510,146.8066848754883
511,146.77624053955077
512,146.74590708414715
513,146.73690694173177
514,146.73729587131078
515,146.73517032199436
516,146.72528025309245
