,ma
0,1.594470573874081
1,3.1763530058019303
2,4.749764835133272
3,6.3241178624770225
4,7.891529576918658
5,9.452470667221966
6,11.019529454848346
7,12.584823608398438
8,14.153168263154871
9,15.723756498448989
10,17.291521139705882
11,18.86110929601333
12,20.431227022058824
13,22.00475643382353
14,23.577578735351562
15,25.155813957663142
16,26.73257859173943
17,28.310225722369026
18,29.87706334731158
19,31.437063419117646
20,32.99423989688649
21,34.56447520536535
22,36.143181116440715
23,37.726475255629595
24,39.31274342256434
25,40.90239042394302
26,42.49180226045496
27,44.079919972139244
28,45.667684757008274
29,47.25392007266774
30,48.838625919117646
31,50.42321418313419
32,52.00905779670266
33,53.59799894445083
34,55.18529304055607
35,56.77835190716912
36,58.36582246668198
37,59.95111658432904
38,61.54029181985294
39,63.12652713551241
40,64.71299779555378
41,66.29852725758272
42,67.88699789608226
43,69.46699793198529
44,71.04429213579964
45,72.61850388470818
46,74.19956270105699
47,75.78515086454503
48,77.36579787310431
49,78.97591552734374
50,80.56015086454504
51,82.14344500373392
52,83.7162685618681
53,85.29650394215304
54,86.87968049890854
55,88.45603350471048
56,90.02415107278263
57,91.59544516170726
58,93.16276281020221
59,94.72923332663143
60,96.28664514878217
61,97.84123337689569
62,99.39088045008042
63,100.96817465389476
64,102.5452335133272
65,104.10899819766774
66,105.66988058651195
67,107.23325697954964
68,108.79772751752068
69,110.35996273265165
70,111.90690271714155
71,113.41796156939338
72,114.92002042882582
73,116.41931457519532
74,117.91931457519532
75,119.42119697122013
76,120.92707932416131
77,122.46166758817785
78,123.99013815487132
79,125.52190282485064
80,127.05025688620175
81,128.57484507841224
82,130.09249213723575
83,131.60684509277343
84,133.11908030790443
85,133.03655090332032
86,132.9745273365694
87,132.92146839815027
88,132.86523293887868
89,132.81770360610065
90,132.78323310403263
91,132.75699786017924
92,132.73440964642694
93,132.71027903837316
94,132.6779260971967
95,132.64380852194392
96,132.61069102567785
97,132.57669103285846
98,132.52716154210708
99,132.46716272690716
100,132.40310399672563
101,132.33810406853172
102,132.2697509765625
103,132.2010898365694
104,132.14108976476334
105,132.05223325841567
106,131.95493909050435
107,131.85535080853631
108,131.7528802310719
109,131.65214143640856
110,131.54743562586168
111,131.44167085535386
112,131.31967082304112
113,131.18755313648896
114,131.0528472002815
115,130.92043546788832
116,130.78396480784696
117,130.6447094188017
118,130.50353294821346
119,130.39632711971507
120,130.28738591811236
121,130.1775623994715
122,130.07179771872129
123,129.95991659725414
124,129.8521530151367
125,129.74556471880746
126,129.65544702866498
127,129.55862345975987
128,129.47227047190947
129,129.39215159696693
130,129.31723399442785
131,129.23889402501723
132,129.1578940896427
133,129.06801174388212
134,128.94507060331458
135,128.84295295266543
136,128.7408353020163
137,128.6455411125632
138,128.54553985595703
139,128.44789267147289
140,128.36530438591453
141,128.28977391860064
142,128.20812692081228
143,128.12892689424402
144,128.04916229248047
145,127.97375048469095
146,127.89904462028952
147,127.80880934771369
148,127.69175047032974
149,127.57604450899012
150,127.47626809512867
151,127.3835033641142
152,127.28971521714155
153,127.19336233700022
154,127.11877414478975
155,127.06348122989431
156,127.0496576645795
157,127.04548115449793
158,127.04508819580079
159,127.04767644545612
160,127.04838229908663
161,127.04826462689569
162,127.00491638183594
163,126.9598575367647
164,126.90844582950368
