,ma
0,1.426631566097862
1,2.8420000578227795
2,4.24978958932977
3,5.658421245374178
4,7.060842253032484
5,8.457473754882812
6,9.85957898591694
7,11.26010533383018
8,12.663361077559621
9,14.068624235454358
10,15.471361019736841
11,16.875729370117188
12,18.28057154605263
13,19.688466282894737
14,21.09572834215666
15,22.507833541067022
16,23.9186229505037
17,25.330201962119656
18,26.732109310752467
19,28.12789884868421
20,29.5211620130037
21,30.92610939427426
22,32.33863573576274
23,33.75526733398438
24,35.17455990439967
25,36.59687564247533
26,38.01898096988076
27,39.439928396124586
28,40.86056004574424
29,42.27982322291324
30,43.69771792763158
31,45.115507427014805
32,46.53442013389186
33,47.95610431871916
34,49.376314825760694
35,50.80168328536184
36,52.22205168071546
37,53.64047273334704
38,55.06236636513158
39,56.481629542300574
40,57.901103290758634
41,59.31973491467927
42,60.740998117547285
43,62.15468236019737
44,63.56594559518914
45,64.97445084421258
46,66.38908241673519
47,67.80776656301398
48,69.22202967593545
49,70.66266126130756
50,72.08013498406662
51,73.49676658228825
52,74.90402976588199
53,76.31792457982114
54,77.73445097270765
55,79.14487208316201
56,80.54792464406867
57,81.95381935521176
58,83.35615619860198
59,84.75773508172286
60,86.15120881733141
61,87.54215617932772
62,88.9286825079667
63,90.33994574295848
64,91.75099840666118
65,93.15015628212376
66,94.54673526161595
67,95.94554571854441
68,97.34533514725534
69,98.74312455026727
70,100.12722874691612
71,101.47922877261513
72,102.82317617315995
73,104.16464988306949
74,105.50675514622739
75,106.85054465846011
76,108.19791307951274
77,109.57096573679071
78,110.93854466488487
79,112.30907094855057
80,113.67654563502262
81,115.040650859632
82,116.3985455964741
83,117.75349297774466
84,119.10654553865132
85,120.45933500591077
86,121.81920872738486
87,123.17952447188527
88,124.53784019068668
89,125.8977349532278
90,127.26352442691201
91,128.64215601870887
92,130.0224718595806
93,131.40413705926193
94,132.78045284873562
95,132.7260318153783
96,132.68540023000617
97,132.6520318282278
98,132.6069790488795
99,132.55813695004113
100,132.51629494114925
101,132.4668212890625
102,132.41671592310854
103,132.35393387643916
104,132.2907759817023
105,132.2017991718493
106,132.1153255261873
107,132.03390438682155
108,131.95095704731187
109,131.87285284745064
110,131.78937924033718
111,131.70606352153578
112,131.60627401251543
113,131.50678775185034
114,131.40973502711245
115,131.31589291221218
116,131.2066297029194
117,131.08841914126748
118,130.96715593839946
119,130.87215287057978
120,130.7777318854081
121,130.6777318050987
122,130.5805738750257
123,130.48173169587787
124,130.38531164872018
125,130.29152221679686
126,130.2117327238384
127,130.12745160554584
128,130.042188463713
129,129.96155588250411
130,129.8776611328125
131,129.80183065314043
132,129.7296201203999
133,129.64156855532997
134,129.55293699565686
135,129.45956854569283
136,129.36620009572883
137,129.2669368543123
138,129.17767261705902
139,129.09556724146793
140,129.02358832108348
141,128.94442941766036
142,128.85858740555614
143,128.77579795435855
144,128.6653769242136
145,128.57390321430407
146,128.48137688887746
147,128.3799032110917
148,128.2725347418534
149,128.16353462620785
150,128.0629977577611
151,127.97352415386
152,127.88252418919613
153,127.79376630281148
154,127.72324001914576
155,127.66439787212171
156,127.61308208264802
157,127.56676627711246
158,127.49662515740646
159,127.42999355918482
160,127.37525674920333
161,127.32594090511924
162,127.26139783357318
163,127.18887152420847
164,127.11560845626028
165,127.05876737895765
166,127.03392526726974
167,127.01576626426295
168,127.01808206658615
169,127.01966103001645
170,127.02092622455798
171,127.01661039653577
172,126.98871564363178
173,126.9678735833419
174,126.94176836515727
175,126.92503059788754
176,126.89987270957545
177,126.87924114026521
178,126.8618727031507
179,126.84566224750719
180,126.82771485981188
181,126.80426218133223
182,126.78489379882812
183,126.76615704988178
184,126.7441570081209
185,126.71489386307566
186,126.6709991455078
187,126.62599912944593
188,126.57980764288651
189,126.54539288972553
190,126.51676129792865
191,126.4780243723016
192,126.43844532213713
193,126.40781378495066
194,126.38128750449732
195,126.35249802438837
196,126.32407700388055
197,126.29597184030634
198,126.27560344495271
199,126.25328658254523
200,126.25626341167249
201,126.25563185842414
202,126.2497897499486
203,126.24421073512028
204,126.22905289499383
205,126.21421075118215
206,126.20094757080078
207,126.20357914974815
208,126.21694753546464
209,126.22989493922184
210,126.24826338918585
211,126.27089498419511
212,126.29426341809724
213,126.31163185521176
214,126.29797395405016
215,126.28371076081929
216,126.27917392128393
217,126.26748970433286
218,126.25254235518607
219,126.23459392346834
220,126.21375178286904
221,126.18196226421155
222,126.1514359323602
223,126.1193833200555
224,126.09938434801603
225,126.07764748021177
226,126.05800427888569
227,126.0375832005551
228,126.02805689761513
229,126.02542531866776
230,126.02616215756065
231,126.03047790527344
232,126.02858324552837
233,126.02247900711863
234,126.01416328831723
235,125.99584752133018
