,ma
0,1.936142839704241
1,3.857000078473772
2,5.767571585518973
3,7.679285975864955
4,9.582571629115513
5,11.478000095912389
6,13.380857195172991
7,15.281571524483818
8,17.185990033830915
9,19.093132890973774
10,20.996847098214285
11,22.90277557373047
12,24.809347098214285
13,26.72006138392857
14,28.62991703578404
15,30.546345520019532
16,32.46098828996931
17,34.376702662876674
18,36.27929120744977
19,38.17357700892857
20,40.06443416050502
21,41.971148463657926
22,43.88814849853516
23,45.81071995326451
24,47.73690272739955
25,49.667188371930806
26,51.597188459123885
27,53.52561710902623
28,55.45361720493862
29,57.3797600882394
30,59.304045758928574
31,61.22818865094866
32,63.153855895996095
33,65.08328443254743
34,67.01071297781807
35,68.9451416015625
36,70.87278442382812
37,72.79778442382812
38,74.72749720982142
39,76.6536400931222
40,78.58006875174387
41,80.50535452706474
42,82.43421173095703
43,84.352783203125
44,86.26806902204241
45,88.1796118600028
46,90.09946899414062
47,92.02482604980469
48,93.94418313162667
49,95.89932599748884
50,97.82304033551897
51,99.74561179024833
52,101.6554689679827
53,103.57432621547154
54,105.49675489153181
55,107.41089782714843
56,109.3150405883789
57,111.22304055350168
58,113.12621198381696
59,115.02835475376673
60,116.91949768066407
61,118.80721195765904
62,120.68892626081194
63,122.60421207972935
64,124.51921212332589
65,126.4180692400251
66,128.3134264264788
67,130.21181204659598
68,132.11152627127512
69,134.00852617536273
70,133.95081045968192
71,133.86481039864677
72,133.7781675066267
73,133.68702457972935
74,133.60516749790736
75,133.53345336914063
76,133.45916769845144
77,133.42188197544644
78,133.37346343994142
79,133.32632053920202
80,133.2784648350307
81,133.22382202148438
82,133.1601076398577
83,133.08825051443918
84,133.01468048095703
85,132.9341805594308
86,132.86508069719588
87,132.79550912039622
88,132.7363490513393
89,132.68763471330917
90,132.65034899030414
91,132.61463470458983
92,132.5709204537528
93,132.52346605573382
94,132.4651404244559
95,132.3971405029297
96,132.33285478864397
97,132.26971195765904
98,132.1922831944057
99,132.10314025878907
100,132.01749747140067
101,131.92906886509488
102,131.83611580984933
103,131.7259015764509
104,131.61990160260882
105,131.46843294416155
106,131.3293615068708
107,131.20043291364397
108,131.0688630240304
109,130.94657723563057
110,130.8232914515904
111,130.69957711356028
112,130.55100566319058
113,130.40000566755023
114,130.24729123796735
115,130.09924839564732
116,129.93781978062222
117,129.7690341404506
118,129.6076770237514
119,129.44978419712612
120,129.3282127380371
121,129.1999269757952
122,129.08664125714984
123,128.9616411481585
124,128.83449957711355
125,128.7173566545759
126,128.6290710449219
127,128.53235680716378
128,128.44289964948382
129,128.35875549316407
130,128.2881840297154
131,128.22519978114536
132,128.17048546927316
133,128.0654138837542
134,127.95627103533063
135,127.85712825230189
136,127.76034251621792
137,127.65609970092774
138,127.55381262642997
139,127.4606698172433
140,127.39609985351562
141,127.37366986955915
142,127.35859843662807
143,127.34502694266183
144,127.32888412475586
145,127.30474123273576
146,127.2731698172433
147,127.1818841116769
148,127.09902703421456
149,127.01352702549525
150,126.93536856515067
151,126.86679720197405
152,126.80844007219586
153,126.75229721069336
154,126.72244012015206
155,126.69779728480748
156,126.67032579694475
157,126.64304013933454
158,126.61970596313476
159,126.59870594569615
160,126.56970596313477
161,126.52713448660714
162,126.46464015415737
163,126.39080875941686
164,126.32052307128906
165,126.2595230102539
166,126.19495152064732
167,126.12894995553152
168,126.10209296090262
169,126.08866446358817
170,126.07545296805246
171,126.06245291573661
172,126.0553101675851
173,126.06381018502371
174,126.06695305960518
175,126.11713605608259
176,126.14570748465401
177,126.16449323381697
178,126.18163604736328
179,126.19206466674805
180,126.20049318586076
181,126.21263602120536
182,126.2522074018206
183,126.30263595581054
184,126.35577883039203
185,126.40613599504744
186,126.45913609095982
187,126.51477900913784
188,126.56920765468053
189,126.59310902186803
190,126.61439470563616
191,126.63325184413365
192,126.64825177873884
193,126.66339460100447
194,126.66910749162946
195,126.67167892456055
196,126.65296467372349
197,126.63625041416714
198,126.61410762241908
199,126.58725040980748
200,126.55367889404297
201,126.516663142613
202,126.47780598231725
203,126.45816312517438
204,126.43559167044504
205,126.41887730189733
206,126.40387725830078
207,126.3935916355678
208,126.38187877110073
209,126.35816454206194
210,126.33273598807199
211,126.30945162091936
212,126.2888801574707
213,126.26345160348075
214,126.23688016619
215,126.22009440830776
216,126.21122294834682
217,126.21979435511997
218,126.22022290910994
219,126.2166514805385
220,126.20766568865095
221,126.19766562325614
222,126.18302274431501
223,126.17052274431501
224,126.15495136805943
225,126.13473706926618
226,126.11473704746791
227,126.0951655796596
228,126.07235695975167
229,126.05007128034319
230,126.02621416364397
231,126.00221415928432
232,125.98299418858119
233,125.97085135323661
234,125.96585137503487
235,125.95356576102121
236,125.94913711547852
237,125.95028141566685
238,125.96128125871931
