,ma
0,2.7105999755859376
1,5.399800109863281
2,8.074600219726562
3,10.751000366210938
4,13.41560028076172
5,16.069200134277345
6,18.733200073242188
7,21.394200134277344
8,24.06038604736328
9,26.730386047363282
10,29.3955859375
11,32.063885803222654
12,34.7330859375
13,37.4080859375
14,40.081883850097654
15,42.76488372802734
16,45.44538360595703
17,48.12738372802735
18,50.79100769042969
19,53.4430078125
20,56.09020782470703
21,58.759607849121096
22,61.44340789794922
23,64.13500793457031
24,66.83166381835937
25,69.53406372070313
26,72.23606384277343
27,74.93586395263672
28,77.63506408691406
29,80.33166412353516
30,83.0256640625
31,85.71946411132812
32,88.41539825439453
33,91.1165982055664
34,93.81499816894531
35,96.5231982421875
36,99.22189819335938
37,101.91689819335937
38,104.61849609375
39,107.31509613037109
40,110.01209625244141
41,112.70749633789063
42,115.40789642333985
43,118.093896484375
44,120.77529663085937
45,123.45145660400391
46,126.13925659179688
47,128.83475646972656
48,131.52185638427736
49,134.25905639648437
50,134.2416564941406
51,134.24405639648438
52,134.2430563354492
53,134.25305633544923
54,134.2798565673828
55,134.30605682373047
56,134.30785675048827
57,134.318056640625
58,134.31631072998047
59,134.30931060791016
60,134.2917108154297
61,134.2662109375
62,134.23141082763672
63,134.2378109741211
64,134.2450131225586
65,134.2204132080078
66,134.19341339111327
67,134.16915313720702
68,134.16512908935547
69,134.1689288330078
70,134.1515267944336
71,134.05092681884764
72,133.92062683105468
73,133.77782684326172
74,133.63117095947266
75,133.4819711303711
76,133.33997100830078
77,133.24897094726563
78,133.14817077636718
79,133.05557067871095
80,132.95977264404297
81,132.85777252197266
82,132.74183837890624
83,132.61503845214844
84,132.48743835449218
85,132.34953826904297
86,132.23459838867188
87,132.12419830322267
88,132.00340026855469
89,131.89060028076173
90,131.7886001586914
91,131.71260009765626
92,131.63480010986328
93,131.57396392822267
94,131.50756378173827
95,131.43860382080078
96,131.36280395507814
97,131.27870422363281
98,131.18240417480467
99,131.01700408935548
100,130.89790405273436
101,130.77630401611327
102,130.66830383300783
103,130.5288037109375
104,130.38740356445314
105,130.20374740600585
106,130.04194747924805
107,129.8852474975586
108,129.73820755004883
109,129.60060760498047
110,129.4774075317383
111,129.35680755615235
112,129.21480758666993
113,129.0080075073242
114,128.79460739135743
115,128.605107421875
116,128.41340728759766
117,128.21486740112306
118,128.01646743774415
119,127.87681762695313
120,127.77001968383789
121,127.71321960449218
122,127.67491958618164
123,127.63751953125
124,127.60092147827149
125,127.56352142333985
126,127.54572143554688
127,127.47272140502929
128,127.41352142333984
129,127.35471954345704
130,127.30531768798828
131,127.26813980102538
132,127.24593978881836
133,127.20583969116211
134,127.16323989868164
135,127.11253997802734
136,127.04677993774413
137,126.97397994995117
138,126.90957809448243
139,126.85117797851562
140,126.79557800292969
141,126.71357604980469
142,126.62337600708008
143,126.52801208496093
144,126.44041213989257
145,126.35261215209961
146,126.25641204833984
147,126.12601196289063
148,126.01761215209962
149,125.93011215209961
150,125.84479217529297
151,125.77059219360352
152,125.70309234619141
153,125.65199234008789
154,125.63099227905273
155,125.67064834594727
156,125.71194839477539
157,125.74384841918945
158,125.77458038330079
159,125.80358047485352
160,125.83358047485352
161,125.87118041992187
162,125.9138883972168
163,125.96108825683594
164,126.01008834838868
165,126.06298828125
166,126.12278839111327
167,126.1825863647461
168,126.2745864868164
169,126.31143646240234
170,126.34404037475586
171,126.38384033203126
172,126.42444030761719
173,126.47184036254883
174,126.5128384399414
175,126.56343856811523
176,126.56523849487304
177,126.57023849487305
178,126.57243850708008
179,126.56724044799805
180,126.5546403503418
181,126.53921829223633
182,126.52921829223632
183,126.54011840820313
184,126.55391830444336
185,126.57371826171875
186,126.59171829223632
187,126.61701843261719
188,126.63802047729492
189,126.66223251342774
190,126.67563247680664
191,126.67663436889649
192,126.68043426513673
193,126.6832342529297
194,126.67723419189453
195,126.67723419189453
196,126.67743423461914
197,126.70883422851563
198,126.73463424682618
199,126.75793228149413
200,126.7709521484375
201,126.77795211791992
202,126.78305206298828
203,126.79405197143555
204,126.7616520690918
205,126.72205200195313
206,126.67375198364257
207,126.62475204467773
208,126.57662002563477
209,126.51442001342774
210,126.4638200378418
211,126.40882003784179
212,126.37731201171874
213,126.3497120666504
214,126.32331207275391
215,126.297412109375
216,126.27919204711914
217,126.25319412231445
218,126.18299407958985
219,126.10929397583008
220,126.02988998413086
221,125.95988998413085
222,125.88188995361328
223,125.8013899230957
224,125.75418991088867
225,125.6952897644043
226,125.66858978271485
227,125.64678970336914
228,125.62158966064453
229,125.60478973388672
230,125.58958984375
231,125.57658981323242
232,125.53698989868164
233,125.49658981323242
234,125.46418991088868
235,125.42938995361328
236,125.40878982543946
237,125.39228973388671
238,125.4234895324707
239,125.42407760620117
240,125.40767761230468
241,125.4060775756836
242,125.41043563842773
243,125.42623565673829
244,125.4463996887207
245,125.48199966430664
246,125.5127995300293
247,125.54339950561524
248,125.58079940795898
249,125.6184014892578
250,125.66260162353515
251,125.70390167236329
252,125.76350158691406
253,125.80850158691406
254,125.84840148925781
255,125.88620147705078
256,125.91860153198242
257,125.94940155029298
258,125.9764015197754
259,126.02970153808593
260,126.06930145263672
261,126.10960144042969
262,126.15020141601562
263,126.2048014831543
264,126.26300140380859
265,126.31430145263671
266,126.39712142944336
267,126.49972137451172
268,126.61432144165039
269,126.73422164916992
270,126.86252182006837
271,126.98872177124024
272,127.12072189331055
273,127.25422180175781
274,127.34642181396484
275,127.4434619140625
276,127.53036209106445
277,127.61056228637695
278,127.69156234741212
279,127.76836227416992
280,127.86516220092773
281,127.95236221313476
282,128.0563621520996
283,128.161162109375
284,128.26196212768554
285,128.36516204833984
286,128.4593620300293
287,128.57412216186523
288,128.64632217407225
289,128.74712219238282
290,128.84892227172853
291,128.95472244262695
292,129.0592645263672
293,129.15506469726563
294,129.2428286743164
295,129.31362854003908
296,129.38682861328124
297,129.46822860717774
298,129.5456285095215
299,129.62102844238282
300,129.69802825927735
301,129.77052825927734
302,129.8415283203125
303,129.9331283569336
304,130.04042846679687
305,130.15462860107422
306,130.26932861328126
307,130.3871286010742
308,130.51480850219727
309,130.6245083618164
310,130.73945434570314
311,130.86265426635742
312,130.98785430908202
313,131.1188543701172
314,131.25205444335938
315,131.39045257568358
316,131.48355255126953
317,131.56435272216797
318,131.65175262451172
319,131.73435241699218
320,131.80962615966797
321,131.88122436523437
322,131.9614242553711
323,132.03762420654297
324,132.1202243041992
325,132.1940823364258
326,132.26508209228516
327,132.34008209228514
328,132.4122821044922
329,132.48808197021484
330,132.54808197021484
331,132.60628204345704
332,132.66428192138673
333,132.72148193359374
334,132.77448181152343
335,132.8338818359375
336,132.92727996826173
337,132.9963198852539
338,133.05911987304688
339,133.11211975097658
340,133.17371978759766
341,133.23601959228515
342,133.28851959228516
343,133.35691955566406
344,133.45099151611328
345,133.55469177246093
346,133.66449188232423
347,133.76969177246093
348,133.87629180908203
349,133.98469177246093
350,134.10129180908203
351,134.22849182128905
352,134.33366790771484
353,134.42746795654296
354,134.52466796875
355,134.62186798095703
356,134.7259680175781
357,134.8237680053711
358,134.90068817138672
359,134.97608825683594
360,135.04634216308594
361,135.11544219970702
362,135.18744232177735
363,135.25424224853515
364,135.35524230957031
365,135.44784423828125
366,135.5569464111328
367,135.67394622802735
368,135.78514617919922
369,135.8985461425781
370,136.01877227783203
371,136.20217407226562
372,136.3703741455078
373,136.52217437744142
374,136.67377410888673
375,136.83617584228514
376,137.00497589111328
377,137.17377563476563
378,137.39437561035157
379,137.5965756225586
380,137.80397552490234
381,138.0163754272461
382,138.24397552490234
383,138.4703756713867
384,138.70057556152344
385,138.89597564697266
386,139.03997772216798
387,139.1901776123047
388,139.3609777832031
389,139.53817779541015
390,139.70897766113282
391,139.87047790527345
392,140.064677734375
393,140.2608776855469
394,140.44847778320312
395,140.6319775390625
396,140.80917755126953
397,140.984521484375
398,141.16072143554686
399,141.3581216430664
400,141.52352172851562
401,141.68122161865233
402,141.83944549560547
403,141.99584533691407
404,142.15084533691407
405,142.29864532470702
406,142.48904510498048
407,142.691044921875
408,142.90864501953126
409,143.126044921875
410,143.3266452026367
411,143.51084533691406
412,143.68904510498047
413,143.9216452026367
414,144.12804504394532
415,144.33164489746093
416,144.5274087524414
417,144.72220886230468
418,144.91720886230468
419,145.11340911865236
420,145.31340911865234
421,145.43560913085938
422,145.55500915527344
423,145.68000915527344
424,145.80660919189452
425,145.93020935058593
426,146.05680938720704
427,146.20900939941407
428,146.29720947265625
429,146.3767477416992
430,146.45514770507813
431,146.52954772949218
432,146.58034759521485
433,146.61754760742187
434,146.60534790039063
435,146.6145477294922
436,146.64654754638673
437,146.6529476928711
438,146.62954772949217
439,146.5999478149414
440,146.58054779052733
441,146.61191955566406
442,146.62511962890625
443,146.63561950683595
444,146.66241943359375
445,146.69141357421876
446,146.72421356201173
