,spk
0,2020-07-23 11:30:00-04:00
1,2020-09-03 11:30:00-04:00
2,2020-10-22 09:30:00-04:00
3,2020-11-18 15:30:00-05:00
4,2021-01-05 15:30:00-05:00
5,2021-02-02 12:30:00-05:00
6,2021-03-25 09:30:00-04:00
7,2021-04-29 11:30:00-04:00
8,2021-09-10 12:30:00-04:00
9,2021-12-17 15:30:00-05:00
10,2022-01-05 15:30:00-05:00
11,2022-02-10 14:30:00-05:00
12,2022-04-06 09:30:00-04:00
