,bpk
0,2020-07-30 15:30:00-04:00
1,2020-09-28 13:30:00-04:00
2,2020-11-04 14:30:00-05:00
3,2020-11-30 13:30:00-05:00
4,2021-01-19 15:30:00-05:00
5,2021-03-15 15:30:00-04:00
6,2021-03-30 15:30:00-04:00
7,2021-06-07 15:30:00-04:00
8,2021-10-13 13:30:00-04:00
9,2021-12-27 09:30:00-05:00
10,2022-01-28 15:30:00-05:00
11,2022-03-18 09:30:00-04:00
