,spk
0,2020-07-21 15:30:00-04:00
1,2020-09-03 10:30:00-04:00
2,2020-10-16 15:30:00-04:00
3,2020-11-18 14:30:00-05:00
4,2021-01-04 09:30:00-05:00
5,2021-01-28 14:30:00-05:00
6,2021-02-11 09:30:00-05:00
7,2021-03-18 13:30:00-04:00
8,2021-04-29 15:30:00-04:00
9,2021-05-27 10:30:00-04:00
10,2021-07-16 15:30:00-04:00
11,2021-07-28 10:30:00-04:00
12,2021-09-10 10:30:00-04:00
13,2021-11-09 15:30:00-05:00
14,2021-12-16 10:30:00-05:00
15,2022-01-04 15:30:00-05:00
16,2022-02-09 15:30:00-05:00
17,2022-03-04 09:30:00-05:00
18,2022-04-05 09:30:00-04:00
