,ma
0,4.517666625976562
1,8.999666849772135
2,13.457667032877604
3,17.918333943684896
4,22.359333801269532
5,26.782000223795574
6,31.222000122070312
7,35.65700022379557
8,40.100643412272134
9,44.55064341227214
10,48.99264322916667
11,53.43980967203776
12,57.8884765625
13,62.34680989583333
14,66.80313975016276
15,71.27480621337891
16,75.74230600992838
17,80.21230621337891
18,84.65167948404948
19,89.0716796875
20,93.48367970784506
21,97.93267974853515
22,102.40567982991537
23,106.89167989095053
24,111.38610636393229
25,115.89010620117188
26,120.39343973795573
27,124.89310658772787
28,129.39177347819012
29,133.8861068725586
30,133.85844014485676
31,133.86610666910806
32,133.90133005777994
33,133.94266306559246
34,133.99899648030598
35,134.08999684651693
36,134.1478302001953
37,134.20449676513672
38,134.26351674397787
39,134.30785013834637
40,134.36085052490233
41,134.40601755777996
42,134.45801747639973
43,134.47635091145833
44,134.48902130126953
45,134.47762145996094
46,134.4897883097331
47,134.51228790283204
48,134.5514144897461
49,134.69341430664062
50,134.77008107503255
51,134.8070810953776
52,134.79041442871093
53,134.78174794514973
54,134.77298838297526
55,134.73532206217448
56,134.67498830159505
57,134.6273213704427
58,134.56938781738282
59,134.51338755289714
60,134.4360544840495
61,134.3510543823242
62,134.24849751790364
63,134.2154978434245
64,134.1864980061849
65,134.10349782307944
66,134.02816467285157
67,133.966064453125
68,133.89606781005858
69,133.82806752522785
70,133.7160639444987
71,133.50506388346355
72,133.2602305094401
73,133.03156382242838
74,132.81256357828775
75,132.60763041178384
76,132.3946304321289
77,132.25013071695963
78,132.1022974650065
79,131.8802973429362
80,131.7219670613607
81,131.55563354492188
82,131.39930013020833
83,131.21263326009114
84,131.01163279215496
85,130.82913258870443
86,130.69239959716796
87,130.54806620279948
88,130.4086659749349
89,130.27666625976562
90,130.18899943033855
91,130.1499994913737
92,130.13033294677734
93,130.03660583496094
94,129.92660573323568
95,129.84127248128254
96,129.77210591634113
97,129.694873046875
98,129.58020629882813
99,129.4402064005534
100,129.34737650553384
101,129.34937642415363
102,129.3698760986328
103,129.36670939127603
104,129.36670939127603
105,129.2716158548991
106,129.17828241984049
107,129.021115620931
108,128.88611577351887
109,128.75511576334637
110,128.63211263020833
111,128.5161127726237
112,128.37011286417643
113,128.2037796020508
114,128.03177973429362
115,127.86277974446615
116,127.65951283772786
117,127.45051294962565
118,127.25117975870768
119,127.13842976888021
120,127.01842981974283
121,126.8394297281901
122,126.66042963663737
123,126.47082316080729
124,126.30149307250977
125,126.14915974934895
126,126.03282623291015
127,125.90682601928711
128,125.82082621256511
129,125.7764897664388
130,125.73432312011718
131,125.70869318644206
132,125.69536005655924
133,125.67435989379882
134,125.63802668253581
135,125.67712020874023
136,125.70045369466146
137,125.69595362345378
138,125.69428354899088
139,125.69428354899088
140,125.71928354899089
141,125.74461364746094
142,125.8112803141276
143,125.90328013102213
144,126.00294698079428
145,126.08711369832356
146,126.17711385091145
147,126.21344731648763
148,126.2487808227539
149,126.19569727579753
150,126.13866399129232
151,126.11166407267253
152,126.08349736531575
153,126.05749740600587
154,126.08349405924479
155,126.11682739257813
156,126.12199401855469
157,126.13966064453125
158,126.15454737345378
159,126.1698839823405
