,sts
0,2021-04-27 12:30:00-04:00
1,2021-05-10 11:30:00-04:00
2,2021-05-18 09:30:00-04:00
3,2021-05-26 09:30:00-04:00
4,2021-07-16 09:30:00-04:00
5,2021-07-27 09:30:00-04:00
6,2021-08-05 11:30:00-04:00
7,2021-08-18 12:30:00-04:00
8,2021-08-25 09:30:00-04:00
9,2021-09-09 09:30:00-04:00
10,2021-09-24 15:30:00-04:00
11,2021-10-11 11:30:00-04:00
12,2021-10-28 15:30:00-04:00
13,2021-11-05 12:30:00-04:00
14,2021-11-24 09:30:00-05:00
15,2021-12-02 09:30:00-05:00
16,2021-12-14 09:30:00-05:00
17,2021-12-29 12:30:00-05:00
18,2022-01-05 09:30:00-05:00
19,2022-01-13 11:30:00-05:00
20,2022-02-03 15:30:00-05:00
21,2022-02-10 12:30:00-05:00
22,2022-02-17 10:30:00-05:00
23,2022-03-04 09:30:00-05:00
24,2022-03-31 09:30:00-04:00
25,2022-04-05 15:30:00-04:00
26,2022-04-14 09:30:00-04:00
