,bts
0,2020-05-18 11:30:00-04:00
1,2020-07-29 09:30:00-04:00
2,2020-09-22 14:30:00-04:00
3,2020-11-04 12:30:00-05:00
4,2020-11-27 13:00:00-05:00
5,2020-12-14 15:30:00-05:00
6,2021-01-20 09:30:00-05:00
7,2021-02-03 14:30:00-05:00
8,2021-02-26 12:30:00-05:00
9,2021-03-10 13:30:00-05:00
10,2021-03-30 15:30:00-04:00
11,2021-05-14 12:30:00-04:00
12,2021-06-04 09:30:00-04:00
13,2021-07-22 09:30:00-04:00
14,2021-08-02 14:30:00-04:00
15,2021-08-11 15:30:00-04:00
16,2021-08-23 13:30:00-04:00
17,2021-09-22 15:30:00-04:00
18,2021-10-06 13:30:00-04:00
19,2021-10-14 15:30:00-04:00
20,2021-11-15 12:30:00-05:00
21,2021-11-29 15:30:00-05:00
22,2021-12-22 09:30:00-05:00
23,2022-01-11 13:30:00-05:00
24,2022-01-27 13:30:00-05:00
25,2022-02-28 14:30:00-05:00
26,2022-03-16 13:30:00-04:00
